autoindustry,2008-01,556034.65
autoindustry,2008-02,547136.39
autoindustry,2008-03,548857.36
autoindustry,2008-04,550340.09
autoindustry,2008-05,552339.05
autoindustry,2008-06,555116.88
autoindustry,2008-07,555794.38
autoindustry,2008-08,556180.51
autoindustry,2008-09,554956.3
autoindustry,2008-10,554740.07
autoindustry,2008-11,553808.27
autoindustry,2008-12,552468.27
autoindustry,2009-01,557763.65
autoindustry,2009-02,547674.44
autoindustry,2009-03,547805.34
autoindustry,2009-04,547313.7
autoindustry,2009-05,546549.18
autoindustry,2009-06,546920.12
autoindustry,2009-07,546553.77
autoindustry,2009-08,546674.15
autoindustry,2009-09,546540.34
autoindustry,2009-10,546068.72
autoindustry,2009-11,545717.4
autoindustry,2009-12,545586.88
autoindustry,2010-01,553914.92
autoindustry,2010-02,548591.51
autoindustry,2010-03,550963.33
autoindustry,2010-04,552604.55
autoindustry,2010-05,554720.78
autoindustry,2010-06,557913.01
autoindustry,2010-07,559555.6
autoindustry,2010-08,561060.05
autoindustry,2010-09,562129.62
autoindustry,2010-10,563524.62
autoindustry,2010-11,564627.49
autoindustry,2010-12,565394.18
autoindustry,2011-01,575233.45
autoindustry,2011-02,571116.25
autoindustry,2011-03,574192.78
autoindustry,2011-04,576389.1
autoindustry,2011-05,580297.52
autoindustry,2011-06,584537.63
autoindustry,2011-07,586680.14
autoindustry,2011-08,588849.74
autoindustry,2011-09,589295.41
autoindustry,2011-10,590042.07
autoindustry,2011-11,591214.26
autoindustry,2011-12,591248.72
autoindustry,2012-01,602479.89
autoindustry,2012-02,596701.89
autoindustry,2012-03,599526.3
autoindustry,2012-04,602248.2
autoindustry,2012-05,606343.57
autoindustry,2012-06,611301.66
autoindustry,2012-07,614037.46
autoindustry,2012-08,615835.76
autoindustry,2012-09,615362.83
autoindustry,2012-10,616695.94
autoindustry,2012-11,617719.93
autoindustry,2012-12,618123.07
autoindustry,2013-01,628642.11
autoindustry,2013-02,623061.58
autoindustry,2013-03,626546.21
autoindustry,2013-04,629186.89
autoindustry,2013-05,633930.41
autoindustry,2013-06,639074.56
autoindustry,2013-07,642413.1
autoindustry,2013-08,645087.6
autoindustry,2013-09,645559.27
autoindustry,2013-10,645924.55
autoindustry,2013-11,647071.69
autoindustry,2013-12,647482.06
autoindustry,2014-01,657365.2
autoindustry,2014-02,652788.81
autoindustry,2014-03,656372.37
autoindustry,2014-04,659257.69
autoindustry,2014-05,663854.0
autoindustry,2014-06,670500.92
autoindustry,2014-07,673323.02
autoindustry,2014-08,675821.55
autoindustry,2014-09,676256.4
